recording_id,subject_id,s3_url
sub-007_ses-1_task-picture,sub-007,s3://openneuro.org/ds006914/sub-007/ses-1/ieeg/sub-007_ses-1_task-picture
sub-007_ses-2_task-picture,sub-007,s3://openneuro.org/ds006914/sub-007/ses-2/ieeg/sub-007_ses-2_task-picture
sub-007_ses-3_task-picture,sub-007,s3://openneuro.org/ds006914/sub-007/ses-3/ieeg/sub-007_ses-3_task-picture
sub-007_ses-4_task-picture,sub-007,s3://openneuro.org/ds006914/sub-007/ses-4/ieeg/sub-007_ses-4_task-picture
sub-007_ses-5_task-picture,sub-007,s3://openneuro.org/ds006914/sub-007/ses-5/ieeg/sub-007_ses-5_task-picture
sub-008_ses-1_task-picture,sub-008,s3://openneuro.org/ds006914/sub-008/ses-1/ieeg/sub-008_ses-1_task-picture
sub-008_ses-2_task-picture,sub-008,s3://openneuro.org/ds006914/sub-008/ses-2/ieeg/sub-008_ses-2_task-picture
sub-008_ses-3_task-picture,sub-008,s3://openneuro.org/ds006914/sub-008/ses-3/ieeg/sub-008_ses-3_task-picture
sub-008_ses-4_task-picture,sub-008,s3://openneuro.org/ds006914/sub-008/ses-4/ieeg/sub-008_ses-4_task-picture
sub-011_ses-1_task-picture,sub-011,s3://openneuro.org/ds006914/sub-011/ses-1/ieeg/sub-011_ses-1_task-picture
sub-011_ses-2_task-picture,sub-011,s3://openneuro.org/ds006914/sub-011/ses-2/ieeg/sub-011_ses-2_task-picture
sub-011_ses-3_task-picture,sub-011,s3://openneuro.org/ds006914/sub-011/ses-3/ieeg/sub-011_ses-3_task-picture
sub-011_ses-4_task-picture,sub-011,s3://openneuro.org/ds006914/sub-011/ses-4/ieeg/sub-011_ses-4_task-picture
sub-012_ses-1_task-picture,sub-012,s3://openneuro.org/ds006914/sub-012/ses-1/ieeg/sub-012_ses-1_task-picture
sub-012_ses-2_task-picture,sub-012,s3://openneuro.org/ds006914/sub-012/ses-2/ieeg/sub-012_ses-2_task-picture
sub-012_ses-3_task-picture,sub-012,s3://openneuro.org/ds006914/sub-012/ses-3/ieeg/sub-012_ses-3_task-picture
sub-012_ses-4_task-picture,sub-012,s3://openneuro.org/ds006914/sub-012/ses-4/ieeg/sub-012_ses-4_task-picture
sub-015_ses-1_task-picture,sub-015,s3://openneuro.org/ds006914/sub-015/ses-1/ieeg/sub-015_ses-1_task-picture
sub-015_ses-2_task-picture,sub-015,s3://openneuro.org/ds006914/sub-015/ses-2/ieeg/sub-015_ses-2_task-picture
sub-015_ses-3_task-picture,sub-015,s3://openneuro.org/ds006914/sub-015/ses-3/ieeg/sub-015_ses-3_task-picture
sub-017_ses-1_task-picture,sub-017,s3://openneuro.org/ds006914/sub-017/ses-1/ieeg/sub-017_ses-1_task-picture
sub-017_ses-2_task-picture,sub-017,s3://openneuro.org/ds006914/sub-017/ses-2/ieeg/sub-017_ses-2_task-picture
sub-017_ses-3_task-picture,sub-017,s3://openneuro.org/ds006914/sub-017/ses-3/ieeg/sub-017_ses-3_task-picture
sub-018_ses-1_task-picture,sub-018,s3://openneuro.org/ds006914/sub-018/ses-1/ieeg/sub-018_ses-1_task-picture
sub-018_ses-2_task-picture,sub-018,s3://openneuro.org/ds006914/sub-018/ses-2/ieeg/sub-018_ses-2_task-picture
sub-018_ses-3_task-picture,sub-018,s3://openneuro.org/ds006914/sub-018/ses-3/ieeg/sub-018_ses-3_task-picture
sub-019_ses-1_task-picture,sub-019,s3://openneuro.org/ds006914/sub-019/ses-1/ieeg/sub-019_ses-1_task-picture
sub-019_ses-2_task-picture,sub-019,s3://openneuro.org/ds006914/sub-019/ses-2/ieeg/sub-019_ses-2_task-picture
sub-019_ses-3_task-picture,sub-019,s3://openneuro.org/ds006914/sub-019/ses-3/ieeg/sub-019_ses-3_task-picture
sub-020_ses-1_task-picture,sub-020,s3://openneuro.org/ds006914/sub-020/ses-1/ieeg/sub-020_ses-1_task-picture
sub-020_ses-2_task-picture,sub-020,s3://openneuro.org/ds006914/sub-020/ses-2/ieeg/sub-020_ses-2_task-picture
sub-020_ses-3_task-picture,sub-020,s3://openneuro.org/ds006914/sub-020/ses-3/ieeg/sub-020_ses-3_task-picture
sub-023_ses-1_task-picture,sub-023,s3://openneuro.org/ds006914/sub-023/ses-1/ieeg/sub-023_ses-1_task-picture
sub-023_ses-2_task-picture,sub-023,s3://openneuro.org/ds006914/sub-023/ses-2/ieeg/sub-023_ses-2_task-picture
sub-023_ses-3_task-picture,sub-023,s3://openneuro.org/ds006914/sub-023/ses-3/ieeg/sub-023_ses-3_task-picture
sub-024_ses-1_task-picture,sub-024,s3://openneuro.org/ds006914/sub-024/ses-1/ieeg/sub-024_ses-1_task-picture
sub-024_ses-2_task-picture,sub-024,s3://openneuro.org/ds006914/sub-024/ses-2/ieeg/sub-024_ses-2_task-picture
sub-024_ses-3_task-picture,sub-024,s3://openneuro.org/ds006914/sub-024/ses-3/ieeg/sub-024_ses-3_task-picture
sub-025_ses-1_task-picture,sub-025,s3://openneuro.org/ds006914/sub-025/ses-1/ieeg/sub-025_ses-1_task-picture
sub-025_ses-2_task-picture,sub-025,s3://openneuro.org/ds006914/sub-025/ses-2/ieeg/sub-025_ses-2_task-picture
sub-025_ses-3_task-picture,sub-025,s3://openneuro.org/ds006914/sub-025/ses-3/ieeg/sub-025_ses-3_task-picture
sub-026_ses-1_task-picture,sub-026,s3://openneuro.org/ds006914/sub-026/ses-1/ieeg/sub-026_ses-1_task-picture
sub-026_ses-2_task-picture,sub-026,s3://openneuro.org/ds006914/sub-026/ses-2/ieeg/sub-026_ses-2_task-picture
sub-027_ses-1_task-picture,sub-027,s3://openneuro.org/ds006914/sub-027/ses-1/ieeg/sub-027_ses-1_task-picture
sub-027_ses-2_task-picture,sub-027,s3://openneuro.org/ds006914/sub-027/ses-2/ieeg/sub-027_ses-2_task-picture
sub-027_ses-3_task-picture,sub-027,s3://openneuro.org/ds006914/sub-027/ses-3/ieeg/sub-027_ses-3_task-picture
sub-027_ses-4_task-picture,sub-027,s3://openneuro.org/ds006914/sub-027/ses-4/ieeg/sub-027_ses-4_task-picture
sub-028_ses-1_task-picture,sub-028,s3://openneuro.org/ds006914/sub-028/ses-1/ieeg/sub-028_ses-1_task-picture
sub-028_ses-2_task-picture,sub-028,s3://openneuro.org/ds006914/sub-028/ses-2/ieeg/sub-028_ses-2_task-picture
sub-028_ses-3_task-picture,sub-028,s3://openneuro.org/ds006914/sub-028/ses-3/ieeg/sub-028_ses-3_task-picture
sub-029_ses-1_task-picture,sub-029,s3://openneuro.org/ds006914/sub-029/ses-1/ieeg/sub-029_ses-1_task-picture
sub-029_ses-2_task-picture,sub-029,s3://openneuro.org/ds006914/sub-029/ses-2/ieeg/sub-029_ses-2_task-picture
sub-029_ses-3_task-picture,sub-029,s3://openneuro.org/ds006914/sub-029/ses-3/ieeg/sub-029_ses-3_task-picture
sub-030_ses-1_task-picture,sub-030,s3://openneuro.org/ds006914/sub-030/ses-1/ieeg/sub-030_ses-1_task-picture
sub-030_ses-2_task-picture,sub-030,s3://openneuro.org/ds006914/sub-030/ses-2/ieeg/sub-030_ses-2_task-picture
sub-030_ses-3_task-picture,sub-030,s3://openneuro.org/ds006914/sub-030/ses-3/ieeg/sub-030_ses-3_task-picture
sub-030_ses-4_task-picture,sub-030,s3://openneuro.org/ds006914/sub-030/ses-4/ieeg/sub-030_ses-4_task-picture
sub-030_ses-5_task-picture,sub-030,s3://openneuro.org/ds006914/sub-030/ses-5/ieeg/sub-030_ses-5_task-picture
sub-031_ses-1_task-picture,sub-031,s3://openneuro.org/ds006914/sub-031/ses-1/ieeg/sub-031_ses-1_task-picture
sub-031_ses-2_task-picture,sub-031,s3://openneuro.org/ds006914/sub-031/ses-2/ieeg/sub-031_ses-2_task-picture
sub-031_ses-3_task-picture,sub-031,s3://openneuro.org/ds006914/sub-031/ses-3/ieeg/sub-031_ses-3_task-picture
sub-031_ses-4_task-picture,sub-031,s3://openneuro.org/ds006914/sub-031/ses-4/ieeg/sub-031_ses-4_task-picture
sub-032_ses-1_task-picture,sub-032,s3://openneuro.org/ds006914/sub-032/ses-1/ieeg/sub-032_ses-1_task-picture
sub-032_ses-2_task-picture,sub-032,s3://openneuro.org/ds006914/sub-032/ses-2/ieeg/sub-032_ses-2_task-picture
sub-033_ses-1_task-picture,sub-033,s3://openneuro.org/ds006914/sub-033/ses-1/ieeg/sub-033_ses-1_task-picture
sub-033_ses-2_task-picture,sub-033,s3://openneuro.org/ds006914/sub-033/ses-2/ieeg/sub-033_ses-2_task-picture
sub-033_ses-3_task-picture,sub-033,s3://openneuro.org/ds006914/sub-033/ses-3/ieeg/sub-033_ses-3_task-picture
sub-033_ses-4_task-picture,sub-033,s3://openneuro.org/ds006914/sub-033/ses-4/ieeg/sub-033_ses-4_task-picture
sub-034_ses-1_task-picture,sub-034,s3://openneuro.org/ds006914/sub-034/ses-1/ieeg/sub-034_ses-1_task-picture
sub-034_ses-2_task-picture,sub-034,s3://openneuro.org/ds006914/sub-034/ses-2/ieeg/sub-034_ses-2_task-picture
sub-034_ses-3_task-picture,sub-034,s3://openneuro.org/ds006914/sub-034/ses-3/ieeg/sub-034_ses-3_task-picture
sub-035_ses-1_task-picture,sub-035,s3://openneuro.org/ds006914/sub-035/ses-1/ieeg/sub-035_ses-1_task-picture
sub-035_ses-2_task-picture,sub-035,s3://openneuro.org/ds006914/sub-035/ses-2/ieeg/sub-035_ses-2_task-picture
sub-035_ses-3_task-picture,sub-035,s3://openneuro.org/ds006914/sub-035/ses-3/ieeg/sub-035_ses-3_task-picture
sub-035_ses-4_task-picture,sub-035,s3://openneuro.org/ds006914/sub-035/ses-4/ieeg/sub-035_ses-4_task-picture
sub-036_ses-1_task-picture,sub-036,s3://openneuro.org/ds006914/sub-036/ses-1/ieeg/sub-036_ses-1_task-picture
sub-036_ses-2_task-picture,sub-036,s3://openneuro.org/ds006914/sub-036/ses-2/ieeg/sub-036_ses-2_task-picture
sub-036_ses-3_task-picture,sub-036,s3://openneuro.org/ds006914/sub-036/ses-3/ieeg/sub-036_ses-3_task-picture
sub-037_ses-1_task-picture,sub-037,s3://openneuro.org/ds006914/sub-037/ses-1/ieeg/sub-037_ses-1_task-picture
sub-037_ses-2_task-picture,sub-037,s3://openneuro.org/ds006914/sub-037/ses-2/ieeg/sub-037_ses-2_task-picture
sub-037_ses-3_task-picture,sub-037,s3://openneuro.org/ds006914/sub-037/ses-3/ieeg/sub-037_ses-3_task-picture
sub-038_ses-1_task-picture,sub-038,s3://openneuro.org/ds006914/sub-038/ses-1/ieeg/sub-038_ses-1_task-picture
sub-038_ses-2_task-picture,sub-038,s3://openneuro.org/ds006914/sub-038/ses-2/ieeg/sub-038_ses-2_task-picture
sub-038_ses-3_task-picture,sub-038,s3://openneuro.org/ds006914/sub-038/ses-3/ieeg/sub-038_ses-3_task-picture
sub-039_ses-1_task-picture,sub-039,s3://openneuro.org/ds006914/sub-039/ses-1/ieeg/sub-039_ses-1_task-picture
