ch_name,std_ch_name,std_ch_type
25,25,EEG
26,26,EEG
27,27,EEG
65,65,EEG-OTHER
84,84,EEG-OTHER
85,85,EEG-OTHER
110,110,EEG-OTHER
111,111,EEG-OTHER
AccelerX,AccelerX,MOTION
AccelerY,AccelerY,MOTION
AccelerZ,AccelerZ,MOTION
ADM,ADM,EMG
Af3,AF3,EEG
Af4,AF4,EEG
Af7,AF7,EEG
Af8,AF8,EEG
APB,APB,EMG
avgVEOG,avgVEOG,EOG
Back_acc_x,Back_acc_x,MOTION
Back_acc_y,Back_acc_y,MOTION
Back_acc_z,Back_acc_z,MOTION
Back_gyro_x,Back_gyro_x,MOTION
Back_gyro_y,Back_gyro_y,MOTION
Back_gyro_z,Back_gyro_z,MOTION
Back_mag_x,Back_mag_x,MOTION
Back_mag_y,Back_mag_y,MOTION
Back_mag_z,Back_mag_z,MOTION
Back_ori_s,Back_ori_s,MOTION
Back_ori_x,Back_ori_x,MOTION
Back_ori_y,Back_ori_y,MOTION
Back_ori_z,Back_ori_z,MOTION
BallMachine_Acc_X(g),BallMachine_Acc_X(g),MOTION
BallMachine_Acc_Y(g),BallMachine_Acc_Y(g),MOTION
BallMachine_Acc_Z(g),BallMachine_Acc_Z(g),MOTION
Biceps,Biceps,EMG
BIP10,BIP10,EEG-OTHER
BIP11,BIP11,EEG-OTHER
BIP12,BIP12,EEG-OTHER
BIP3,BIP3,EEG-OTHER
BIP7,BIP7,EEG-OTHER
BIP8,BIP8,EEG-OTHER
BIP9,BIP9,EEG-OTHER
BrainVision RDA_AF3,AF3,EEG
BrainVision RDA_AF4,AF4,EEG
BrainVision RDA_AF7,AF7,EEG
BrainVision RDA_AF8,AF8,EEG
BrainVision RDA_AFz,AFz,EEG
BrainVision RDA_C1,C1,EEG
BrainVision RDA_C2,C2,EEG
BrainVision RDA_C3,C3,EEG
BrainVision RDA_C4,C4,EEG
BrainVision RDA_C5,C5,EEG
BrainVision RDA_C6,C6,EEG
BrainVision RDA_CP1,CP1,EEG
BrainVision RDA_CP2,CP2,EEG
BrainVision RDA_CP3,CP3,EEG
BrainVision RDA_CP4,CP4,EEG
BrainVision RDA_CP5,CP5,EEG
BrainVision RDA_CP6,CP6,EEG
BrainVision RDA_CPz,CPz,EEG
BrainVision RDA_Cz,Cz,EEG
BrainVision RDA_F1,F1,EEG
BrainVision RDA_F2,F2,EEG
BrainVision RDA_F3,F3,EEG
BrainVision RDA_F4,F4,EEG
