recording_id,subject_id,s3_url
sub-NDARAC904DMU_task-DespicableMe,sub-NDARAC904DMU,s3://openneuro.org/ds005505/sub-NDARAC904DMU/eeg/sub-NDARAC904DMU_task-DespicableMe
sub-NDARAC904DMU_task-DiaryOfAWimpyKid,sub-NDARAC904DMU,s3://openneuro.org/ds005505/sub-NDARAC904DMU/eeg/sub-NDARAC904DMU_task-DiaryOfAWimpyKid
sub-NDARAC904DMU_task-FunwithFractals,sub-NDARAC904DMU,s3://openneuro.org/ds005505/sub-NDARAC904DMU/eeg/sub-NDARAC904DMU_task-FunwithFractals
sub-NDARAC904DMU_task-RestingState,sub-NDARAC904DMU,s3://openneuro.org/ds005505/sub-NDARAC904DMU/eeg/sub-NDARAC904DMU_task-RestingState
sub-NDARAC904DMU_task-ThePresent,sub-NDARAC904DMU,s3://openneuro.org/ds005505/sub-NDARAC904DMU/eeg/sub-NDARAC904DMU_task-ThePresent
sub-NDARAC904DMU_task-contrastChangeDetection_run-1,sub-NDARAC904DMU,s3://openneuro.org/ds005505/sub-NDARAC904DMU/eeg/sub-NDARAC904DMU_task-contrastChangeDetection_run-1
sub-NDARAC904DMU_task-contrastChangeDetection_run-2,sub-NDARAC904DMU,s3://openneuro.org/ds005505/sub-NDARAC904DMU/eeg/sub-NDARAC904DMU_task-contrastChangeDetection_run-2
sub-NDARAC904DMU_task-contrastChangeDetection_run-3,sub-NDARAC904DMU,s3://openneuro.org/ds005505/sub-NDARAC904DMU/eeg/sub-NDARAC904DMU_task-contrastChangeDetection_run-3
sub-NDARAC904DMU_task-seqLearning8target,sub-NDARAC904DMU,s3://openneuro.org/ds005505/sub-NDARAC904DMU/eeg/sub-NDARAC904DMU_task-seqLearning8target
sub-NDARAC904DMU_task-surroundSupp_run-1,sub-NDARAC904DMU,s3://openneuro.org/ds005505/sub-NDARAC904DMU/eeg/sub-NDARAC904DMU_task-surroundSupp_run-1
sub-NDARAC904DMU_task-surroundSupp_run-2,sub-NDARAC904DMU,s3://openneuro.org/ds005505/sub-NDARAC904DMU/eeg/sub-NDARAC904DMU_task-surroundSupp_run-2
sub-NDARAC904DMU_task-symbolSearch,sub-NDARAC904DMU,s3://openneuro.org/ds005505/sub-NDARAC904DMU/eeg/sub-NDARAC904DMU_task-symbolSearch
sub-NDARAG143ARJ_task-DespicableMe,sub-NDARAG143ARJ,s3://openneuro.org/ds005505/sub-NDARAG143ARJ/eeg/sub-NDARAG143ARJ_task-DespicableMe
sub-NDARAG143ARJ_task-DiaryOfAWimpyKid,sub-NDARAG143ARJ,s3://openneuro.org/ds005505/sub-NDARAG143ARJ/eeg/sub-NDARAG143ARJ_task-DiaryOfAWimpyKid
sub-NDARAG143ARJ_task-FunwithFractals,sub-NDARAG143ARJ,s3://openneuro.org/ds005505/sub-NDARAG143ARJ/eeg/sub-NDARAG143ARJ_task-FunwithFractals
sub-NDARAG143ARJ_task-RestingState,sub-NDARAG143ARJ,s3://openneuro.org/ds005505/sub-NDARAG143ARJ/eeg/sub-NDARAG143ARJ_task-RestingState
sub-NDARAG143ARJ_task-ThePresent,sub-NDARAG143ARJ,s3://openneuro.org/ds005505/sub-NDARAG143ARJ/eeg/sub-NDARAG143ARJ_task-ThePresent
sub-NDARAG143ARJ_task-contrastChangeDetection_run-1,sub-NDARAG143ARJ,s3://openneuro.org/ds005505/sub-NDARAG143ARJ/eeg/sub-NDARAG143ARJ_task-contrastChangeDetection_run-1
sub-NDARAG143ARJ_task-contrastChangeDetection_run-2,sub-NDARAG143ARJ,s3://openneuro.org/ds005505/sub-NDARAG143ARJ/eeg/sub-NDARAG143ARJ_task-contrastChangeDetection_run-2
sub-NDARAG143ARJ_task-contrastChangeDetection_run-3,sub-NDARAG143ARJ,s3://openneuro.org/ds005505/sub-NDARAG143ARJ/eeg/sub-NDARAG143ARJ_task-contrastChangeDetection_run-3
sub-NDARAG143ARJ_task-seqLearning6target,sub-NDARAG143ARJ,s3://openneuro.org/ds005505/sub-NDARAG143ARJ/eeg/sub-NDARAG143ARJ_task-seqLearning6target
sub-NDARAG143ARJ_task-surroundSupp_run-1,sub-NDARAG143ARJ,s3://openneuro.org/ds005505/sub-NDARAG143ARJ/eeg/sub-NDARAG143ARJ_task-surroundSupp_run-1
sub-NDARAG143ARJ_task-surroundSupp_run-2,sub-NDARAG143ARJ,s3://openneuro.org/ds005505/sub-NDARAG143ARJ/eeg/sub-NDARAG143ARJ_task-surroundSupp_run-2
sub-NDARAM704GKZ_task-DespicableMe,sub-NDARAM704GKZ,s3://openneuro.org/ds005505/sub-NDARAM704GKZ/eeg/sub-NDARAM704GKZ_task-DespicableMe
sub-NDARAM704GKZ_task-DiaryOfAWimpyKid,sub-NDARAM704GKZ,s3://openneuro.org/ds005505/sub-NDARAM704GKZ/eeg/sub-NDARAM704GKZ_task-DiaryOfAWimpyKid
sub-NDARAM704GKZ_task-FunwithFractals,sub-NDARAM704GKZ,s3://openneuro.org/ds005505/sub-NDARAM704GKZ/eeg/sub-NDARAM704GKZ_task-FunwithFractals
sub-NDARAM704GKZ_task-RestingState,sub-NDARAM704GKZ,s3://openneuro.org/ds005505/sub-NDARAM704GKZ/eeg/sub-NDARAM704GKZ_task-RestingState
sub-NDARAM704GKZ_task-ThePresent,sub-NDARAM704GKZ,s3://openneuro.org/ds005505/sub-NDARAM704GKZ/eeg/sub-NDARAM704GKZ_task-ThePresent
sub-NDARAM704GKZ_task-contrastChangeDetection_run-1,sub-NDARAM704GKZ,s3://openneuro.org/ds005505/sub-NDARAM704GKZ/eeg/sub-NDARAM704GKZ_task-contrastChangeDetection_run-1
sub-NDARAM704GKZ_task-contrastChangeDetection_run-2,sub-NDARAM704GKZ,s3://openneuro.org/ds005505/sub-NDARAM704GKZ/eeg/sub-NDARAM704GKZ_task-contrastChangeDetection_run-2
sub-NDARAM704GKZ_task-contrastChangeDetection_run-3,sub-NDARAM704GKZ,s3://openneuro.org/ds005505/sub-NDARAM704GKZ/eeg/sub-NDARAM704GKZ_task-contrastChangeDetection_run-3
sub-NDARAM704GKZ_task-surroundSupp_run-1,sub-NDARAM704GKZ,s3://openneuro.org/ds005505/sub-NDARAM704GKZ/eeg/sub-NDARAM704GKZ_task-surroundSupp_run-1
sub-NDARAM704GKZ_task-surroundSupp_run-2,sub-NDARAM704GKZ,s3://openneuro.org/ds005505/sub-NDARAM704GKZ/eeg/sub-NDARAM704GKZ_task-surroundSupp_run-2
sub-NDARAM704GKZ_task-symbolSearch,sub-NDARAM704GKZ,s3://openneuro.org/ds005505/sub-NDARAM704GKZ/eeg/sub-NDARAM704GKZ_task-symbolSearch
sub-NDARAN385MDH_task-DespicableMe,sub-NDARAN385MDH,s3://openneuro.org/ds005505/sub-NDARAN385MDH/eeg/sub-NDARAN385MDH_task-DespicableMe
sub-NDARAN385MDH_task-DiaryOfAWimpyKid,sub-NDARAN385MDH,s3://openneuro.org/ds005505/sub-NDARAN385MDH/eeg/sub-NDARAN385MDH_task-DiaryOfAWimpyKid
sub-NDARAN385MDH_task-FunwithFractals,sub-NDARAN385MDH,s3://openneuro.org/ds005505/sub-NDARAN385MDH/eeg/sub-NDARAN385MDH_task-FunwithFractals
sub-NDARAN385MDH_task-RestingState,sub-NDARAN385MDH,s3://openneuro.org/ds005505/sub-NDARAN385MDH/eeg/sub-NDARAN385MDH_task-RestingState
sub-NDARAN385MDH_task-ThePresent,sub-NDARAN385MDH,s3://openneuro.org/ds005505/sub-NDARAN385MDH/eeg/sub-NDARAN385MDH_task-ThePresent
sub-NDARAN385MDH_task-contrastChangeDetection_run-1,sub-NDARAN385MDH,s3://openneuro.org/ds005505/sub-NDARAN385MDH/eeg/sub-NDARAN385MDH_task-contrastChangeDetection_run-1
sub-NDARAN385MDH_task-contrastChangeDetection_run-2,sub-NDARAN385MDH,s3://openneuro.org/ds005505/sub-NDARAN385MDH/eeg/sub-NDARAN385MDH_task-contrastChangeDetection_run-2
sub-NDARAN385MDH_task-contrastChangeDetection_run-3,sub-NDARAN385MDH,s3://openneuro.org/ds005505/sub-NDARAN385MDH/eeg/sub-NDARAN385MDH_task-contrastChangeDetection_run-3
sub-NDARAN385MDH_task-seqLearning8target,sub-NDARAN385MDH,s3://openneuro.org/ds005505/sub-NDARAN385MDH/eeg/sub-NDARAN385MDH_task-seqLearning8target
sub-NDARAN385MDH_task-surroundSupp_run-1,sub-NDARAN385MDH,s3://openneuro.org/ds005505/sub-NDARAN385MDH/eeg/sub-NDARAN385MDH_task-surroundSupp_run-1
sub-NDARAN385MDH_task-surroundSupp_run-2,sub-NDARAN385MDH,s3://openneuro.org/ds005505/sub-NDARAN385MDH/eeg/sub-NDARAN385MDH_task-surroundSupp_run-2
sub-NDARAP359UM6_task-DespicableMe,sub-NDARAP359UM6,s3://openneuro.org/ds005505/sub-NDARAP359UM6/eeg/sub-NDARAP359UM6_task-DespicableMe
sub-NDARAP359UM6_task-DiaryOfAWimpyKid,sub-NDARAP359UM6,s3://openneuro.org/ds005505/sub-NDARAP359UM6/eeg/sub-NDARAP359UM6_task-DiaryOfAWimpyKid
sub-NDARAP359UM6_task-FunwithFractals,sub-NDARAP359UM6,s3://openneuro.org/ds005505/sub-NDARAP359UM6/eeg/sub-NDARAP359UM6_task-FunwithFractals
sub-NDARAP359UM6_task-RestingState,sub-NDARAP359UM6,s3://openneuro.org/ds005505/sub-NDARAP359UM6/eeg/sub-NDARAP359UM6_task-RestingState
sub-NDARAP359UM6_task-ThePresent,sub-NDARAP359UM6,s3://openneuro.org/ds005505/sub-NDARAP359UM6/eeg/sub-NDARAP359UM6_task-ThePresent
sub-NDARAP359UM6_task-contrastChangeDetection_run-1,sub-NDARAP359UM6,s3://openneuro.org/ds005505/sub-NDARAP359UM6/eeg/sub-NDARAP359UM6_task-contrastChangeDetection_run-1
sub-NDARAP359UM6_task-contrastChangeDetection_run-2,sub-NDARAP359UM6,s3://openneuro.org/ds005505/sub-NDARAP359UM6/eeg/sub-NDARAP359UM6_task-contrastChangeDetection_run-2
sub-NDARAP359UM6_task-contrastChangeDetection_run-3,sub-NDARAP359UM6,s3://openneuro.org/ds005505/sub-NDARAP359UM6/eeg/sub-NDARAP359UM6_task-contrastChangeDetection_run-3
sub-NDARAP359UM6_task-seqLearning8target,sub-NDARAP359UM6,s3://openneuro.org/ds005505/sub-NDARAP359UM6/eeg/sub-NDARAP359UM6_task-seqLearning8target
sub-NDARAP359UM6_task-surroundSupp_run-1,sub-NDARAP359UM6,s3://openneuro.org/ds005505/sub-NDARAP359UM6/eeg/sub-NDARAP359UM6_task-surroundSupp_run-1
sub-NDARAP359UM6_task-surroundSupp_run-2,sub-NDARAP359UM6,s3://openneuro.org/ds005505/sub-NDARAP359UM6/eeg/sub-NDARAP359UM6_task-surroundSupp_run-2
sub-NDARAP359UM6_task-symbolSearch,sub-NDARAP359UM6,s3://openneuro.org/ds005505/sub-NDARAP359UM6/eeg/sub-NDARAP359UM6_task-symbolSearch
sub-NDARAW320CGR_task-DespicableMe,sub-NDARAW320CGR,s3://openneuro.org/ds005505/sub-NDARAW320CGR/eeg/sub-NDARAW320CGR_task-DespicableMe
sub-NDARAW320CGR_task-DiaryOfAWimpyKid,sub-NDARAW320CGR,s3://openneuro.org/ds005505/sub-NDARAW320CGR/eeg/sub-NDARAW320CGR_task-DiaryOfAWimpyKid
